time_s,r_x_urad,r_y_urad,r_norm_urad,r_hat_x_urad,r_hat_y_urad,r_hat_norm_urad
6413.0,45.82722273591965,53.046275662381504,70.10022614326547,-24.553969092839118,30.97376578919419,39.52558115165361
6473.5,-19.216665226574186,6.163970028526251,20.181049252771658,-35.31288022261452,11.196520397255743,37.04539888600045
6534.0,-29.535428668260998,49.25088524545819,57.42813982778151,-44.29226070461762,-8.535992871842963,45.10728912974008
6594.5,-91.87035222168396,33.928764600712526,97.93529846111072,-51.364495471167906,-28.182572750989834,58.58812850631485
6655.0,-50.89919747437604,-47.388048476072385,69.54391017124443,-56.42960232907695,-47.69903693030129,73.88841683982687
6715.5,-75.8206184454484,-21.08064929630973,78.69663243242543,-59.4167624311623,-67.0378714549213,89.57917094396292
6776.0,-125.00030188193733,54.63246308745843,136.41767295177695,-60.285400866943704,-86.14795385760166,105.14656205287723
6836.5,-79.06011866588663,-80.06678576930761,112.52196473085723,-59.0258004823239,-104.97435843481541,120.43114651692149
6897.0,-165.9027159360253,-92.29133820089018,189.845732798661,-55.65923935549768,-123.45825068090677,135.42485217574432
6957.5,-82.6815002955814,-133.28634655102798,156.8485915398954,-50.23764982423604,-141.53687637437892,150.18824465875744
7018.0,-155.8944188778005,-182.72184225067284,240.18813766030763,-42.84280446053089,-159.1436491883533,164.80960824851488
7078.5,-70.81942689732227,-256.45282902962293,266.0515828619747,-33.58504180428916,-176.20833899954212,179.38041633905695
7139.0,-62.57691065352001,-281.1152350470221,287.9959116419556,-22.60155188162771,-192.6573613240839,193.9785787653279
7199.5,56.121731304178084,-248.62175049737823,254.87727153467208,-10.054248431798346,-208.4141665424725,208.65654249776537
7260.0,125.37023272525067,-337.03146630563464,359.5940830070896,3.8727387586923885,-223.39972581804193,223.4332911655499
7320.5,78.24926090507151,-396.00678736561497,403.6636254009337,18.975912067508514,-237.5331088925206,238.28987191850993
7381.0,-15.184627246209047,-402.9159676745373,403.20199641335495,35.035550116930025,-250.73214728590912,253.16812487870337
7441.5,111.4149097781947,-425.93553753181965,440.2662424640384,51.819098420794205,-262.91417486329846,267.9721670345505
7502.0,176.22316665314287,-418.71172457351435,454.2841762163722,69.08475344547018,-273.99683628377585,282.572060636114
7562.5,132.57136225365932,-302.48380393710914,330.25992450500934,86.58518391900073,-283.89895253992614,296.8090452253004
7623.0,243.7310331680998,-359.4170651982872,434.2642551315261,104.0713310931061,-292.54143165221285,310.501741039591
7683.5,89.18239270690725,-364.8454156927403,375.58710909845865,121.29622845061212,-299.848211619653,323.4528173441179
7744.0,212.45237558277302,-360.5354199580314,418.4755679069899,138.01878107510944,-305.7472219629076,335.455731308163
7804.5,207.25442105316293,-407.50197088806453,457.17857706123846,154.0074455643998,-310.1713496412179,346.3012553074652
7865.0,162.69616826759366,-402.62214348229134,434.25180896713823,169.043752964048,-313.0593947903393,355.78360710221546
7925.5,264.99981176202584,-372.7126845844444,457.31788231388094,182.92561969678403,-314.35700162104774,363.7060719999432
7986.0,345.9284991153693,-392.6449217691398,523.293952851842,195.47039482821168,-314.0175499396897,369.88605938102404
8046.5,328.96659112897555,-401.338052314267,518.9327994205298,206.51759618605777,-312.00299310274494,374.159571893516
8107.0,271.89587033557405,-332.46181837684577,429.48600091735017,215.93129277319517,-308.2846287920222,376.3850894338646
8167.5,284.3558971689537,-297.7624925399263,411.72901065913516,223.60209650619174,-302.8437897879043,376.4468867915694
8228.0,300.49895898484897,-355.626432595045,465.58542063863644,229.44873248300505,-295.67244291361885,374.25781800326473
8288.5,403.9983303510887,-330.91179069455313,522.2233852932509,233.4191636383284,-286.7736855091637,369.76161598268345
8349.0,406.0274568897365,-265.0514557710902,484.8820165305381,235.49125267805667,-276.162130151617,362.93477680949644
8409.5,384.00476353703084,-220.8266462985321,442.9718570457812,235.67295148450685,-263.86416984873915,353.7881289576899
8470.0,414.88435711428906,-287.20733169076516,504.59595832216706,234.0020156363234,-249.9181175721796,342.3682356946741
8530.5,381.7345716368801,-175.84054878986126,420.28702309435147,230.54524917393664,-234.37421574039118,328.75885527327773
8591.0,315.2280070555503,-196.12932270611222,371.261912478741,225.3972921450292,-217.29451308297635,313.0828080912132
8651.5,307.7410844114844,-173.58344053772007,353.3210804122343,218.67897066801717,-198.75260818981843,295.5048078706656
8712.0,262.82334185511706,-41.80421180194779,266.12722737118395,210.53523614154398,-178.83326094136524,276.2361686602573
8772.5,299.8306577104048,-115.44136213499826,321.28668101033657,201.1327266958484,-157.63187490180297,255.54291563877192
8833.0,187.74876882301433,-135.17998099887797,231.3508752034768,190.6569899257096,-135.2538556056899,233.75990516711147
8893.5,221.90774237800477,-89.58946585080096,239.3100886271508,179.30941127082525,-111.81385145241582,211.31540962956976
8954.0,215.40210709587214,-38.00686796530688,218.7294899044796,167.30389703409313,-87.43488561430716,188.77355001477673
9014.5,192.67592993620883,-100.66472156953918,217.38767247812305,154.8633648784618,-62.247388937128314,166.90536004265925
9075.0,154.8126391288309,-89.93620538589909,179.04042636580223,142.21609765823527,-36.388145242072845,146.79753249729674
9135.5,218.59167168991834,-109.58971605378747,244.52448711109244,129.59201857345874,-9.999161703921839,129.97720766628606
9196.0,148.2684082445251,42.50042610161471,154.23944729602724,117.21894685279604,16.773521938509163,118.41297454037826
9256.5,191.86573453572134,-19.712580114648432,192.87572657985848,105.3188934520127,43.781070702940234,114.05635216791853
9317.0,141.14724823096546,102.3541417134535,174.3528491567359,94.10445559748656,70.87312291230923,117.80767426039193
9377.5,32.58318738938553,34.98194520469106,47.8058635604025,83.77536741754056,97.8990742270831,128.85084757371155
9438.0,76.31199366993148,9.42905536406981,76.89231081804185,74.51526141394493,124.70936120652426,145.27542447409297
9498.5,122.51672621609268,49.939444176435074,132.30380299658918,66.4886921710477,151.15672846860875,165.13359061059944
9559.0,-17.72880831643525,177.90512660889456,178.78631020871734,59.83846953367028,177.0974637767457,186.93355534062832
9619.5,43.11996891845165,221.74529325915907,225.8988862347902,54.68334357291155,202.39258586998105,209.64977195182146
9680.0,-120.7929308316831,245.74526965698183,273.82781030729967,51.11607807892919,226.90897056428028,232.59521568749562
9740.5,69.42644986413774,325.8134699584488,333.1282773153649,49.20194315966867,250.52040157472814,255.30629215875257
9801.0,101.09309558025912,297.8605524536309,314.54844250446,48.97765088162891,273.1085336277342,277.46545987955676
9861.5,104.80145826594405,322.36334402504605,338.9711952742867,50.450750867925656,294.5637567312146,298.85294886071256
9922.0,-66.75995132759178,267.6778960648052,275.87741325259503,53.599495480945514,314.7859519290654,319.31661630378676
9982.5,84.65261059649328,338.41814058801754,348.84509794442107,58.37317677678635,333.68513046149826,338.7524081953087
10043.0,3.617668485746499,250.01500615509065,250.0411782647066,64.69292994386262,351.181949960254,357.0909368250724
10103.5,70.57524938912435,483.8025111078426,488.92303645930946,72.45299054648348,367.208103100962,374.2876257935006
10164.0,48.61995253198674,534.1010653663568,536.3094701846034,81.52238570253155,381.70657598629236,390.31501319038637
10224.5,22.658020369203285,411.5746801032617,412.1978932371603,91.7470324460872,394.6317754144806,405.156458827264
10285.0,64.58916855935244,539.298816720679,543.1528094482371,102.95221006949954,405.949526069324,418.80087783349154
10345.5,97.97886633266444,437.70087863468734,448.5330728111489,114.94536730692903,415.63694052096974,431.23833757095036
10406.0,50.13106459522872,531.3781975323021,533.7376813099571,127.51921990641314,423.68216672325605,442.45647226010055
10466.5,95.9423523602602,444.92032562549224,455.1472631260287,140.45508952394997,430.0840194055672,452.43772601456334
10527.0,171.65778517208966,575.0677977713382,600.141122773439,153.52643103381035,434.8515033589915,461.15745141931114
10587.5,160.93657575989843,529.6411926638976,553.5525037281988,166.50249234495516,438.00323808369086,468.5828811735233
10648.0,153.98122116374626,521.5517182120445,543.8073291534553,179.1520486914643,439.5667945745801,474.6729647272108
10708.5,186.55603877477648,507.76071307948996,540.9474071943852,191.2471521589688,439.57795615605005,479.37902827224934
10769.0,208.8172794773141,535.2194070933608,574.5123757915711,202.5668369382089,438.0799162165943,482.6461813994691
10829.5,275.28187274254185,454.3886035908335,531.271223137362,212.9007214655481,435.122426427094,484.4153622464431
10890.0,212.38203991034624,455.84167923389975,502.88941866305106,222.05245020802244,430.76090954158985,484.62588852896005
10950.5,282.4814284158846,532.8277590275858,603.0764281500625,229.8429203522795,425.0555511696073,483.2183663895268
11011.0,286.2477380964855,518.7195838458899,592.4590907654363,236.11324202324005,418.0703849709421,480.13780297793346
11071.5,344.52319523358335,480.17877121558536,590.9889037706776,240.7273848364807,409.87238555737406,475.33677140812887
11132.0,292.65137358194977,545.4444116178913,618.9946951506043,243.57446851248397,400.53058299474174,468.7784867346695
11192.5,251.98985922156962,470.12023379466245,533.396591078022,244.57066087347548,390.1152121903774,460.43966699496224
11253.0,262.15526281834,448.34756892439725,519.3658868117641,243.66065271647864,378.6969096357774,450.31307226185265
11313.5,210.9933615166338,386.56551620446464,440.39879305297046,240.81868571228165,366.34596896637515,438.40963534815586
11374.0,189.14164824811968,542.2151175961958,574.2576049578028,236.0491165143255,353.1316656164028,424.7601189709417
11434.5,207.47811889867813,334.29685454802154,393.44828984560996,229.38650756330887,339.12165950667145,409.4162549272449
11495.0,236.29471121249568,354.9137643271784,426.37890503152784,220.8952425274864,324.3814832288189,392.45134072010194
11555.5,157.8964381573643,428.6909424697559,456.84484164581517,210.66867180776748,308.9741216053537,373.9602881363858
11616.0,250.34634689302564,348.7269032704945,429.2828280601403,198.82780094278712,292.95968683658396,354.0591370648891
11676.5,198.4778019627861,281.44674887905904,344.3917977051298,185.51954195537846,276.39519172040997,332.8840675873443
11737.0,146.41951849586826,182.44043600331995,233.92987856544403,170.91455457477088,259.334421677081,310.5899664059971
11797.5,165.25459077899447,289.4045208043593,333.2627438456537,155.2047107397165,241.82790455681584,287.3486343418731
11858.0,197.9422766244092,147.37573023558886,246.780774651769,138.60022173454806,223.9229754820279,263.34676837506623
11918.5,203.0052612398296,195.42482780334623,281.78360387541886,121.32647263924,205.66393230585106,238.7839316507414
11979.0,232.08302433428318,224.80024097729242,323.10629601974057,103.62061340171186,187.09227568155734,213.8708749256216
12039.5,21.008894089819265,238.94049259095834,239.86232015572403,85.72795969301485,168.2470262590826,188.82887734176572
12100.0,102.86305200673424,253.08730815111952,273.19222722346956,67.89825972284221,149.16511017902894,163.89143897138857
12160.5,34.238935470656074,153.74387222908024,157.5102629994487,50.38188532635014,129.88180284288802,139.31122380754658
12221.0,8.265006976480027,110.79171737318097,111.0995723611035,33.42600684996034,110.43121992016903,115.37916738731622
12281.5,-36.65048319477293,35.402913396467824,50.95708189612248,17.270811644268928,90.84684372494901,92.47394200334017
12342.0,-28.33415551626602,20.757353806658728,35.123953448818334,2.14582531192673,71.16207246950536,71.19441778977084
12402.5,-87.13253767059754,39.32757964520488,95.5967449323879,-11.733606732263066,51.410779491327,52.73277704476845
12463.0,57.19288415566609,-47.52019203597095,74.35855464692007,-24.169622327934068,31.62786935846134,39.805687578923525
12523.5,-13.592691698040007,-106.81290733027028,107.67431652879377,-34.98487856364445,11.849817790170981,36.937242855594974
12584.0,-113.08632041481464,-147.1264849197412,185.56594092074374,-44.02527317620316,-7.884817415335565,44.725775833544716
12644.5,137.26113098969256,-144.10836234985342,199.01718061445396,-51.16230875517792,-27.534926780711587,58.10123948746105
12705.0,7.634400796531423,-238.76475880919935,238.8867809752922,-56.29506274656569,-47.05643252653038,73.37194240146349
12765.5,-26.35271663850232,-242.96940654608406,244.3943497538056,-59.35173242545801,-66.40193569001809,89.06090727858358
12826.0,125.5259679243567,-259.3006156149676,288.08605985303734,-60.29073066843291,-85.52043667844997,104.6361184974208
12886.5,113.90030569833297,-241.60937394287856,267.1111551681124,-59.1013153974866,-104.35713770962101,119.93072030409053
12947.0,77.82179794539627,-299.7919548708462,309.7280233377948,-55.80374287780505,-122.85333420214363,134.93331480311218
13007.5,58.126303418912514,-248.02463107300972,254.74474433842605,-50.448942516471014,-140.9464006616943,149.70298480830988
13068.0,-7.855000321641521,-305.3761019131338,305.4771098621199,-43.1177183108438,-158.56987499021778,164.3275475589731
13128.5,133.61804876153545,-288.2832255818656,317.74360907298336,-33.91948951574347,-175.6536434494813,178.8986702747847
13189.0,112.0325949538254,-242.30398707027203,266.95041577461245,-22.990590320940427,-192.12422676553015,193.49492436123015
13249.5,173.22048427665436,-318.0875641441869,362.1947468368652,-10.492155241134514,-207.90516609466457,208.16974662629084
13310.0,136.70224340267225,-261.0772591934556,294.7012701351832,3.392376589196899,-222.91750581310353,222.9433170491055
13370.5,157.50776723373517,-267.02303585884533,310.016126061582,18.460099056047603,-237.0803683698316,237.79797375826007
13431.0,152.56910774625257,-429.585630232221,455.874046574821,34.49177413007773,-250.31161478332825,252.67684297948165
13491.5,246.14847752771706,-337.0596025300778,417.37063702055883,51.255215193127796,-262.52858279478767,267.48524046895284
13552.0,250.89041636927843,-236.3096964474716,344.6567475925084,68.50886558876812,-273.6488932386841,282.09427756517255
13612.5,299.51125411559815,-380.38424215789536,484.14787309657237,86.00551631675648,-283.5913138799214,296.3460513404084
13673.0,282.55341992831256,-379.1429681210408,472.84862840957663,103.49610463195634,-292.27666881686076,310.05982456401824
13733.5,236.76580018576922,-215.71447707068052,320.29795465392027,120.73353406545681,-299.6287805803996,323.0386856090646
13794.0,293.95712370849947,-233.04278809204257,375.1262876161663,137.47645607877163,-305.5754312872218,335.0762900927937
13854.5,272.03019674268967,-196.80349597965014,335.75592916533674,153.49295419572562,-310.04932864350207,345.96339861323116
13915.0,321.4164775467808,-249.9135019348779,407.14286250397964,168.56407302099834,-312.989062253675,355.4940221773965
13975.5,242.7411512311667,-126.06232505887365,273.52326464175087,182.48713702436183,-314.3400355737344,363.4710623197462
14036.0,260.4005764468218,-198.0652031795898,327.1670596566978,195.0788073065226,-314.05535896283607,369.7113868322305
14096.5,274.99032261939567,-122.53296948485402,301.0548224910132,206.17782871341126,-312.096689629973,374.0503184478854
14157.0,311.33445983780837,-214.3928903747842,378.0125094831574,215.6474245652673,-308.43500483983206,376.3455379464195
14217.5,232.16234276780943,-95.21092733356599,250.92722866033375,223.37730183763372,-303.0512955257705,376.480420070034
14278.0,241.4218288398009,-280.19193083406424,369.8540489772623,229.28523578558466,-295.9371684468449,374.36683482593304
14338.5,218.21723907683727,-121.00039524003557,249.5192559273981,233.31820964305112,-287.095346205462,369.9474621670932
14399.0,281.23990567139435,-167.35938902310153,327.269078338056,235.4530920513217,-276.5400557949495,363.1976886154453
14459.5,158.90642664931065,-120.62820703972788,199.50543041248827,235.69684216396112,-264.2972978518158,354.12718486136396
14520.0,178.99238419257733,-75.42628303127312,194.23541842531432,234.08623982450808,-250.40499042301968,342.7813106106132
14580.5,186.87935200966146,-62.001072832844145,196.89597568252788,230.68714570100653,-234.91298279930857,329.2425681459578
14641.0,166.58557480508097,-67.20776667702455,179.6319504844631,225.59330366963877,-217.8829367851711,313.63244858067975
14701.5,87.94190965573708,-131.29874461284538,158.02892080504446,218.92470495173353,-199.38807464639692,296.11421909358006
14762.0,138.36025295890752,-40.49464419863043,144.16440548077932,210.82554041053996,-179.51279486897556,276.8975478603361
14822.5,180.13938511152008,-2.8912502794702153,180.16258600645995,201.46177389765484,-158.35215874919004,256.2464683122842
14883.0,170.7918709261871,-53.49004430766855,178.97219899890513,191.01837550169392,-136.0112526852302,234.49324219753473
14943.5,64.89708436088127,-56.22687839621571,85.86671888878816,179.69625889977127,-112.60443282705302,212.0624996430909
15004.0,1.1061276341949515,11.405893721531985,11.459403559086855,167.70897166138968,-88.2544604361562,189.51292558186597
15064.5,71.29178142985208,68.08075801057801,98.5774198827332,155.27919123116985,-63.09153788416157,167.60718773965158
15125.0,-0.7011612486560566,87.9642755391885,87.96706996502097,142.6350823605063,-37.25225665453513,147.41946053979362
15185.5,2.138813219194166,205.87961064350085,205.89072004513974,130.00657392077235,-10.878469983136414,130.4609151117347
15246.0,-7.940561151982674,18.13430369432193,19.79660278649532,117.621614278135,15.883896138913144,118.68926784653341
15306.5,6.405536352520521,50.02322585807735,50.43167676383248,105.70246472281052,42.88607898909956,114.07114805916652
15367.0,2.076661101826822,61.18270053861414,61.217933373559546,94.46208981887759,69.97774687968268,117.5583747391339
15427.5,2.4792058380526854,134.80234937399916,134.82514549718522,84.10070198449996,97.00828293263476,128.3882199885324
15488.0,14.093015720931056,92.7533038427051,93.81784726717822,74.80251515132277,123.82806891184825,144.66791946869668
15548.5,-57.317099885001525,171.6263774277116,180.94436539496485,66.73275902469207,150.28975317777082,164.43926245663746
15609.0,-82.4588280372208,212.4569094840367,227.8977768842428,60.03500132587359,176.24948708037888,186.19367089215007
15669.5,-41.66519374935642,219.06276533531613,222.9898731479239,54.82882050894532,201.5681145873659,208.89208787483457
15730.0,-145.9434593073533,306.1677892318498,339.17282980468156,51.20786588565746,226.1123006482572,231.8383446132484
15790.5,-111.91736028200964,283.1108272960427,304.42936137098025,49.23833594916096,249.7555847105109,254.5628916812732
15851.0,-149.68903487685714,249.72360670372498,291.15062580644,48.957899058919054,272.37934691674593,276.74425830910445
15911.5,-71.52172620680732,394.3084865152789,400.74248571566676,50.375073639051415,293.87367580547493,298.15999962362696
15972.0,-69.23272901769208,335.3949506103209,342.46597445897714,53.4690777614031,314.13812779108156,318.65609300426195
16032.5,-90.25806278816337,393.37021345948835,403.5921737787237,58.19015054769005,333.08237029000503,338.127134401797
