time_s,temperature,femap_node_id,x_mm,y_mm,z_mm,mapped_entity_name,target_x_mm,target_y_mm,target_z_mm
12346.9,50.882,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
12407.5,50.9767,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
12468.0,51.0711,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
12528.5,51.1658,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
12589.0,51.261,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
12649.6,51.3568,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
12710.1,51.4538,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
12770.6,51.5517,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
12831.1,51.6499,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
12891.7,51.7475,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
12952.2,51.8448,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
13012.7,51.9424,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
13073.2,52.0404,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
13133.8,52.1388,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
13194.3,50.61,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
13254.8,49.124,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
13315.3,47.6836,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
13375.8,46.2922,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
13436.4,44.951,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
13496.9,43.6602,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
13557.4,42.419,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
13617.9,41.2262,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
13678.5,40.0794,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
13739.0,38.9764,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
13799.5,37.9158,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
13860.0,36.8952,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
13920.6,35.9126,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
13981.1,34.9661,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
14041.6,34.0536,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
14102.1,33.1733,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
14162.7,32.3228,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
14223.2,33.1329,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
14283.7,33.9311,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
14344.2,34.7122,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
